Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m7-VR-005.txt
Log File Name:                   SEP_d1_m7-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2069052670
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m7-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
5400000	545.193342	1	-1.572878105314	0.875768807761	0.086465481021	-0.014566327499	0.000060937092	0.972330593061	N\A	0.027507553140	0.025262913831	0.003528127493	52	28	
5450000	537.133037	1	-1.539696197936	0.828168294619	0.119834559516	-0.016226666841	0.000126453012	0.972925237955	N\A	0.028128321492	0.024852242559	0.003075998788	38	25	
5500000	531.280708	1	-1.575893570167	0.851910340858	0.130370369601	-0.020732774940	0.000084936378	0.977481428113	N\A	0.027568231085	0.024981636731	0.003324523562	43	17	
5550000	540.134379	1	-1.537786011022	0.870325114385	0.092032568539	-0.017387310411	0.000049332639	0.978165862312	N\A	0.023912521593	0.022250275580	0.002867842367	46	29	
5600000	536.686049	1	-1.675793516807	0.933398765074	0.084401740319	-0.024225797663	0.000043697545	0.979188978514	N\A	0.024434399170	0.022295993236	0.003046174145	67	22	
5650000	529.517429	1	-1.564834198076	0.889724041975	0.058840734017	-0.013630545507	0.000050499761	0.973981951969	N\A	0.027914653553	0.025393696363	0.003485778189	47	36	
5700000	546.130702	1	-1.604665404156	0.896430674045	0.060974986221	-0.011149976914	0.000060759980	0.977820253984	N\A	0.026836959707	0.024592047279	0.003498234029	38	25	
5750000	544.595382	1	-1.594764648422	0.899379294559	0.069470228440	-0.017167722292	0.000062532845	0.977466670438	N\A	0.025598590817	0.023417630932	0.003412798125	40	21	
5800000	531.978432	1	-1.529932075619	0.830092594579	0.131135873219	-0.021271796523	0.000057298975	0.974981565426	N\A	0.025340902358	0.023877230506	0.003387891711	44	16	
5850000	540.314120	1	-1.596943584309	0.881358308808	0.106629014133	-0.019102045012	0.000058557152	0.976838624169	N\A	0.026770585281	0.025289008704	0.003506633583	40	21	
5900000	543.955572	1	-1.484334057440	0.846917856659	0.077397074934	-0.011078516235	0.000072140053	0.975435714156	N\A	0.025891624773	0.023386729797	0.003143023819	37	23	
5950000	534.940709	1	-1.603024470095	0.867910600693	0.111779989707	-0.020211681166	0.000089965058	0.975684478829	N\A	0.029521381262	0.026271162594	0.003489104711	50	27	
6000000	536.254523	1	-1.560983177196	0.862114878876	0.093693517139	-0.015702727530	0.000062024738	0.974681938563	N\A	0.026995218463	0.024507376896	0.003173631563	42	26	
6050000	531.942118	1	-1.587820684392	0.848511165847	0.144260016773	-0.021421916737	0.000099030975	0.978246502815	N\A	0.026217107273	0.024106686862	0.003351603678	48	31	
6100000	530.396380	1	-1.567425921670	0.860186020759	0.102561643815	-0.018867937815	0.000073873427	0.970940213028	N\A	0.026881258471	0.025901500541	0.003585743389	47	33	
6150000	550.766978	1	-1.546487279409	0.871939275352	0.079862952600	-0.014509139329	0.000067328104	0.976921183810	N\A	0.024737783242	0.022805399342	0.003135292455	35	28	
6200000	551.067414	1	-1.559408456537	0.870247843124	0.098189737001	-0.017743037931	0.000056393434	0.974529244839	N\A	0.025007701619	0.023502515829	0.003214726517	47	30	
6250000	552.798738	1	-1.664565600771	0.913959233837	0.079659479138	-0.019396447642	0.000139141930	0.980022109737	N\A	0.022928237471	0.021338953219	0.003035167629	49	33	
6300000	542.901083	1	-1.589841654805	0.877918854829	0.115149815313	-0.022671789154	0.000053051043	0.976165540271	N\A	0.025564527365	0.022982906584	0.003249886800	46	26	
