Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m7-fab-002.txt
Log File Name:                   SCH_d1_m7-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            398729887
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m7-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
5300000	486.722280	1	-1.471365683068	1.022110602548	-0.013794591617	-0.010275008015	0.000113109960	0.966736849001	N\A	0.034720167002	0.032930506539	0.004105761475	35	7	
5350000	473.152911	1	-1.552001451475	1.033620162586	0.021768112469	-0.014800436904	0.000100732627	0.963328931830	N\A	0.034298643911	0.027535246937	0.003505981473	37	3	
5400000	477.224536	1	-1.453829195494	0.984337327261	0.054883468061	-0.014628560421	0.000085023029	0.963946883133	N\A	0.039608071800	0.035037944991	0.004153033029	37	5	
5450000	488.679624	1	-1.443376955618	0.960614575959	0.079256324445	-0.018860195769	0.000103516963	0.965181999440	N\A	0.037730730208	0.032370399860	0.003624931917	23	4	
5500000	473.796828	1	-1.471621693743	1.003076597767	0.013487761516	-0.010043951146	0.000192034268	0.963561595368	N\A	0.040205999991	0.034693793144	0.004435013605	40	5	
5550000	483.056874	1	-1.534485604430	1.050953221289	-0.033256580763	-0.007481306317	0.000015041787	0.966158812146	N\A	0.038649686080	0.033687947371	0.004159606783	53	6	
5600000	468.454938	1	-1.303676428891	0.931322021326	0.052583571483	-0.013697561775	0.000053633935	0.966183618671	N\A	0.037585284076	0.034465994859	0.004078633717	38	5	
5650000	481.527559	1	-1.482866696106	0.998506102355	0.034442282391	-0.011536483059	0.000020489502	0.964286701159	N\A	0.037652702812	0.034362124293	0.004255556018	31	6	
5700000	474.412718	1	-1.505810202807	1.008668257033	0.050539725028	-0.022281614610	0.000059427685	0.962224381947	N\A	0.037245696901	0.034930864002	0.004530616645	35	6	
5750000	460.662510	1	-1.443139370657	0.979514816612	0.020705670576	-0.006733144789	0.000120750492	0.961700234139	N\A	0.038915857988	0.034045666242	0.004149136745	41	3	
5800000	481.374745	1	-1.311807059128	0.907935540378	0.096108168911	-0.017074059034	0.000132533893	0.962356110723	N\A	0.038060603762	0.033775207230	0.003981529246	39	4	
5850000	484.931589	1	-1.395210723855	0.957140479040	0.053807911495	-0.016256355910	0.000113295927	0.969171592542	N\A	0.034329953440	0.032164546349	0.003922928001	25	6	
5900000	473.861750	1	-1.643563171736	1.076032914341	-0.017266879782	-0.011420746347	0.000130371666	0.962811737445	N\A	0.037535344350	0.034047660596	0.004276658818	41	10	
5950000	489.909440	1	-1.441984514388	0.993448880618	0.039634181222	-0.019646492639	0.000086285890	0.968126078159	N\A	0.035834078637	0.032085549743	0.004159459155	42	6	
6000000	469.059385	1	-1.580167884867	1.055040286044	-0.003792128424	-0.017996819417	0.000175329589	0.962163050571	N\A	0.039783085662	0.035545037885	0.004477851420	36	5	
6050000	475.154733	1	-1.578918961428	1.020167209767	0.056698281693	-0.020422386347	0.000131978011	0.964467157112	N\A	0.035231142766	0.031030113854	0.003942362279	33	4	
6100000	471.206505	1	-1.500679157254	0.956438980497	0.132005921488	-0.028244273775	0.000119019742	0.959576861042	N\A	0.037608361025	0.033231067156	0.004145942334	37	2	
6150000	460.016567	1	-1.504121990785	1.013681291905	-0.002622561290	-0.007830329525	0.000127928542	0.963636424554	N\A	0.038714095160	0.034749238728	0.004006078726	30	4	
6200000	476.593685	1	-1.514831838602	1.021633200663	0.013455864099	-0.016480339525	0.000123241360	0.962863405688	N\A	0.038632754483	0.033508363498	0.003800200032	30	5	
6250000	473.101772	1	-1.407376620595	0.960890057015	0.050724364686	-0.013306748773	0.000140074656	0.960910530298	N\A	0.039070664008	0.034095718502	0.004105547851	37	7	
