Species_TTOL	PAL	rest_of_brain
Sturnira_lilium	1.579	2.7664442150746
Sturnira_ludovici	1.571	2.79971581818209
Sturnira_tildae	1.614	2.82056767486967
Tadarida_aegyptiaca	1.207	2.56759514736225
Taphozous_australis	1.21	2.68911434548403
Taphozous_hildegardeae	1.303	2.71134274302204
Taphozous_mauritianus	1.25	2.71797961523504
Taphozous_melanopogon	1.307	2.70480831622297
Tonatia_bidens	1.623	2.87212442061372
Lophostoma_schulzi	1.155	2.67681030271887
Trachops_cirrhosus	1.556	2.97719852358353
Triaenops_persicus	0.863	2.41026109600416
Tylonycteris_pachypus	0.524	1.87843900376487
Tylonycteris_robustula	0.663	2.03440793493338
Uroderma_bilobatum	1.505	2.76341624316696
Vampyressa_pusilla	1.294	2.55572901399533
Vampyrum_spectrum	2.084	3.38883839645361
Alouatta_seniculus	2.605	4.69064476860801
Aotus_trivirgatus	2.301	4.20956514451613
Ateles_geoffroyi	2.879	5.00423671459412
Avahi_laniger	2.222	3.99079117597203
Plecturocebus_moloch	2.301	4.24999973790912
Callimico_goeldii	2.025	4.02141427425862
Callithrix_jacchus	1.928	3.86010428447601
Cebuella_pygmaea	1.761	3.63358773263483
Cebus_albifrons	2.675	4.8258408678735
Cercopithecus_ascanius	2.68	4.80297404128273
Cercopithecus_mitis_mitis	2.748	4.84835244065239
Cheirogaleus_major	2.361	3.80396492768725
Cheirogaleus_medius	2.125	3.4708780230274
Daubentonia_madagascariensis	3.024	4.6294722319675
Erythrocebus_patas	2.814	5.01330305301563
Eulemur_fulvus_fulvus	2.58	4.34468914865517
Galago_senegalensis	1.953	3.65384583826705
Galagoides_demidoff	2.091	3.50526524207999
Gorilla_gorilla	3.327	5.67214160105073
Homo_sapiens	3.779	6.09769523952942
Hylobates_lar	2.777	4.98887970833346
Indri_indri	2.643	4.55944787748954
Lagothrix_lagotricha	2.808	4.980177796679
Lepilemur_mustelinus	2.225	3.85550540645094
Lophocebus_albigena	2.934	4.9893093148895
Loris_tardigradus_tardigradus	2.181	3.79701647977618
Macaca_mulatta	2.733	4.94427327976376
Microcebus_murinus	1.823	3.22499777943092
Miopithecus_talapoin	2.467	4.57720824492106
Nasalis_larvatus	2.739	4.97211427746941
Nycticebus_coucang	2.507	4.07016900764897
Otolemur_crassicaudatus	2.376	3.98509131950917
Pan_troglodytes	3.122	5.58232825551133
Papio_cynocephalus	3.063	5.28121407692444
Perodicticus_potto	2.661	4.12079897970986
Pithecia_monachus	2.49	4.51688705271499
Piliocolobus_badius	2.64	4.86832778778568
Propithecus_verreauxi	2.558	4.40135338583513
Pygathrix_nemaeus	2.656	4.86047259819674
Saguinus_midas	1.993	3.98108200720884
Saguinus_oedipus	2.057	3.97903342592802
Saimiri_sciureus_sciureus	2.231	4.35321967494396
Tarsius_tarsier	1.594	3.53020840861181
Varecia_variegata	2.789	4.47260429620756
