Species_TTOL	NEO	BOD	BOD2
Rhinolophus_malayanus	1.538	0.806	0.649636
Rhinolophus_megaphyllus	1.695	0.991	0.982081
Rhinolophus_pearsonii	1.851	1.143	1.306449
Rhinolophus_pusillus	1.471	0.672	0.451584
Rhinolophus_trifoliatus	1.855	1.164	1.354896
Rhinolophus_yunnanensis	1.957	1.371	1.879641
Rhinonicteris_aurantia	1.675	0.934	0.872356
Rhinophylla_pumilio	1.932	0.949	0.900601
Rhinopoma_hardwickii	1.732	1.111	1.234321
Rhinopoma_microphyllum	1.889	1.468	2.155024
Rhogeessa_parvula	1.26	0.653	0.426409
Rhynchonycteris_naso	1.344	0.58	0.3364
Saccopteryx_bilineata	1.642	0.924	0.853776
Saccopteryx_canescens	1.375	0.531	0.281961
Saccopteryx_leptura	1.477	0.708	0.501264
Scotomanes_ornatus	1.813	1.338	1.790244
Scotophilus_dinganii	1.941	1.386	1.920996
Scotophilus_kuhlii	1.825	1.31	1.7161
Sphaeronycteris_toxophyllum	2.131	1.265	1.600225
Sturnira_lilium	2.208	1.305	1.703025
Sturnira_ludovici	2.203	1.413	1.996569
Sturnira_tildae	2.279	1.387	1.923769
Tadarida_aegyptiaca	1.888	1.248	1.557504
Taphozous_australis	2.008	1.38	1.9044
Taphozous_hildegardeae	2.046	1.438	2.067844
Taphozous_mauritianus	2.025	1.462	2.137444
Taphozous_melanopogon	2.054	1.356	1.838736
Tonatia_bidens	2.315	1.468	2.155024
Lophostoma_schulzi	2.186	1.328	1.763584
Trachops_cirrhosus	2.472	1.567	2.455489
Triaenops_persicus	1.682	1.137	1.292769
Tylonycteris_pachypus	1.09	0.681	0.463761
Tylonycteris_robustula	1.223	0.857	0.734449
Uroderma_bilobatum	2.193	1.21	1.4641
Vampyressa_pusilla	1.993	0.934	0.872356
Vampyrum_spectrum	2.879	2.238	5.008644
Alouatta_seniculus	4.501	3.806	14.485636
Aotus_trivirgatus	3.998	2.919	8.520561
Ateles_geoffroyi	4.85	3.903	15.233409
Avahi_laniger	3.682	3.109	9.665881
Plecturocebus_moloch	4.048	2.954	8.726116
Callimico_goeldii	3.811	2.681	7.187761
Callithrix_jacchus	3.641	2.447	5.987809
Cebuella_pygmaea	3.404	2.146	4.605316
Cebus_albifrons	4.667	3.491	12.187081
Cercopithecus_ascanius	4.655	3.531	12.467961
Cercopithecus_mitis_mitis	4.698	3.799	14.432401
Cheirogaleus_major	3.468	2.653	7.038409
Cheirogaleus_medius	3.087	2.248	5.053504
Daubentonia_madagascariensis	4.345	3.447	11.881809
Erythrocebus_patas	4.887	3.892	15.147664
Eulemur_fulvus_fulvus	4.087	3.146	9.897316
Galago_senegalensis	3.33	2.27	5.1529
Galagoides_demidoff	3.195	1.908	3.640464
Gorilla_gorilla	5.533	5.021	25.210441
