Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-glob-005.txt
Log File Name:                   SCH_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3241486415
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
4000000	474.499029	1	-2.171201500782	1.582686020044	-0.074221443450	-0.185974801041	0.018981859051	0.000213788047	0.961734309322	N\A	0.112019812007	0.015855508167	0.048342201801	0.008578919713	23	1	0.002155511234	Global Trend	
4050000	482.535230	1	-1.765083836071	1.240966270316	-0.041635830385	-0.010093907518	0.000082054832	0.000152487229	0.963190233968	N\A	0.084526997490	0.010833483466	0.037324821871	0.006109197694	35	3	0.001554302534	Global Trend	
4100000	475.963279	1	-1.995950957222	1.372545190576	-0.057963985904	-0.070419093598	0.010804244262	0.000146314667	0.965145124241	N\A	0.109961626072	0.014450024117	0.050000679481	0.008059643340	39	3	-0.000353206617	Global Trend	
4150000	481.768574	1	-1.978737232895	1.375067094071	-0.059985884390	-0.083771161389	0.016208824746	0.000089996352	0.964352365446	N\A	0.101540812876	0.014835796798	0.044342383494	0.007779994857	35	3	-0.000432135583	Global Trend	
4200000	482.326072	1	-1.944392428958	1.401564329573	-0.071275851727	-0.091388285307	0.022218178684	0.000109511719	0.966392665541	N\A	0.101610792692	0.016120049208	0.036460716751	0.007800906542	37	4	-0.000166182064	Global Trend	
4250000	471.776642	1	-1.774097952467	1.284542087012	-0.044678624809	-0.065174988351	0.007268563216	0.000211601476	0.963918404230	N\A	0.113740434691	0.015764362614	0.049636916087	0.008683403489	38	8	0.001397214069	Global Trend	
4300000	469.304055	1	-1.878516382850	1.339476820979	-0.053830692123	-0.085336666663	0.012687608237	0.000082720205	0.966451713806	N\A	0.073596150487	0.011994564834	0.038052841909	0.007356770678	38	1	0.000456118876	Global Trend	
4350000	473.049779	1	-2.317122009413	1.634963935083	-0.091205082738	-0.149011131406	0.022339453573	0.000027446828	0.966223293451	N\A	0.114475060075	0.016587440875	0.046867166923	0.008144189624	33	1	0.000173637164	Global Trend	
4400000	472.119074	1	-2.071188145722	1.484497182774	-0.087686254714	-0.085381876055	0.023781238411	0.000196121821	0.962172650107	N\A	0.107209841532	0.015231794344	0.045745186472	0.008048757294	41	4	-0.000135173369	Global Trend	
4450000	470.729479	1	-1.644568302852	1.177877253733	-0.043471552081	0.028200454963	0.001211130679	0.000082477988	0.963940765015	N\A	0.104894184094	0.015532446185	0.043864103571	0.007748266074	42	1	0.000599289543	Global Trend	
4500000	475.807338	1	-1.792275057125	1.228713734796	-0.034458357359	-0.059971186426	0.004253947856	0.000074962500	0.964981861348	N\A	0.095615358031	0.012508798843	0.045882125455	0.007364664989	36	2	-0.001105704458	Global Trend	
4550000	478.019641	1	-1.549491187851	1.140460006845	-0.032147012576	0.022426005429	-0.003268530730	0.000085673825	0.972135049861	N\A	0.066724059926	0.009790114868	0.035426331086	0.005727734685	38	3	0.002961109686	Global Trend	
4600000	469.652279	1	-1.492274513515	1.102558337080	-0.027040302151	0.002014942218	0.003320769702	0.000130108431	0.964993325207	N\A	0.081209515989	0.011325009820	0.040286348128	0.006619193256	42	5	0.003267758185	Global Trend	
4650000	484.012585	1	-1.784381698996	1.330783877537	-0.065145766236	-0.039735409062	0.016345496838	0.000139479390	0.968523543563	N\A	0.095784578207	0.013882065552	0.040095521245	0.006624063674	36	5	0.002020498538	Global Trend	
4700000	470.509606	1	-1.789569721211	1.299872125871	-0.051423911687	-0.040928490858	0.003837647782	0.000105184425	0.960733613897	N\A	0.100154954293	0.014339027395	0.045895353936	0.007563499187	27	1	0.001694232706	Global Trend	
4750000	472.263514	1	-1.355671861633	1.028058464633	-0.026616621640	0.085972779290	-0.005529496071	0.000145214902	0.963576016665	N\A	0.056662705697	0.008328246597	0.037314081148	0.006259846359	39	3	0.007922130242	Global Trend	
