Species_TTOL	HIP	rest_of_brain	BOD
Plecturocebus_moloch	2.769	4.24999973790912	1.86328760196422
Callimico_goeldii	2.449	4.02141427425862	1.86328760196422
Callithrix_jacchus	2.344	3.86010428447601	1.86328760196422
Cebuella_pygmaea	2.124	3.63358773263483	1.86328760196422
Cebus_albifrons	2.949	4.8258408678735	1.86328760196422
Cercopithecus_ascanius	3.075	4.80297404128273	1.86328760196422
Cercopithecus_mitis_mitis	3.135	4.84835244065239	1.86328760196422
Cheirogaleus_major	2.54	3.80396492768725	1.86328760196422
Cheirogaleus_medius	2.241	3.4708780230274	1.86328760196422
Daubentonia_madagascariensis	3.249	4.6294722319675	1.86328760196422
Erythrocebus_patas	3.202	5.01330305301563	1.86328760196422
Eulemur_fulvus_fulvus	2.876	4.34468914865517	1.86328760196422
Galago_senegalensis	2.417	3.65384583826705	1.86328760196422
Galagoides_demidoff	2.182	3.50526524207999	1.86328760196422
Gorilla_gorilla	3.68	5.67214160105073	1.86328760196422
Homo_sapiens	4.012	6.09769523952942	1.86328760196422
Hylobates_lar	3.427	4.98887970833346	1.86328760196422
Indri_indri	3.182	4.55944787748954	1.86328760196422
Lagothrix_lagotricha	3.2	4.980177796679	1.86328760196422
Lepilemur_mustelinus	2.593	3.85550540645094	1.86328760196422
Lophocebus_albigena	3.172	4.9893093148895	1.86328760196422
Loris_tardigradus_tardigradus	2.281	3.79701647977618	1.86328760196422
Macaca_mulatta	3.131	4.94427327976376	1.86328760196422
Microcebus_murinus	2	3.22499777943092	1.86328760196422
Miopithecus_talapoin	2.848	4.57720824492106	1.86328760196422
Nasalis_larvatus	3.294	4.97211427746941	1.86328760196422
Nycticebus_coucang	2.753	4.07016900764897	1.86328760196422
Otolemur_crassicaudatus	2.664	3.98509131950917	1.86328760196422
Pan_troglodytes	3.577	5.58232825551133	1.86328760196422
Papio_cynocephalus	3.531	5.28121407692444	1.86328760196422
Perodicticus_potto	2.783	4.12079897970986	1.86328760196422
Pithecia_monachus	2.921	4.51688705271499	1.86328760196422
Piliocolobus_badius	3.223	4.86832778778568	1.86328760196422
Propithecus_verreauxi	3.018	4.40135338583513	1.86328760196422
Pygathrix_nemaeus	3.361	4.86047259819674	1.86328760196422
Saguinus_midas	2.447	3.98108200720884	1.86328760196422
Saguinus_oedipus	2.418	3.97903342592802	1.86328760196422
Saimiri_sciureus_sciureus	2.547	4.35321967494396	1.86328760196422
Tarsius_tarsier	2.185	3.53020840861181	1.86328760196422
Varecia_variegata	3.147	4.47260429620756	1.86328760196422
