Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m3-glob-006.txt
Log File Name:                   CEREB_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            314913737
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
5600000	396.022511	1	0.858962548048	0.794518842072	-0.032487055708	0.000391121275	0.954887060983	N\A	0.022054234597	0.005279596583	39	9	-0.000270033471	Global Trend	
5650000	391.160122	1	0.945231768439	0.817606300996	-0.030431462248	0.000392498793	0.955336847570	N\A	0.020574144865	0.005001266778	34	8	-0.004357520195	Global Trend	
5700000	377.995883	1	0.867116624660	0.796012282687	-0.028135284699	0.000461320084	0.942728389779	N\A	0.023273122029	0.005208716538	38	4	-0.002410494793	Global Trend	
5750000	385.980896	1	0.839715683725	0.812566829095	-0.029669308386	0.000353144618	0.959231532444	N\A	0.020997263405	0.005227015170	46	6	0.000528126660	Global Trend	
5800000	389.718038	1	1.072841672644	0.777485343748	-0.030736943216	0.000443403724	0.946354988396	N\A	0.021945429921	0.005133960799	37	8	-0.005045744060	Global Trend	
5850000	384.808367	1	1.110704365379	0.746395906201	-0.016665573098	0.000328536491	0.953602971281	N\A	0.020469767808	0.004819075681	48	7	-0.004981037716	Global Trend	
5900000	385.645375	1	0.825624430478	0.793950890864	-0.028101587207	0.000489802482	0.948953991285	N\A	0.022689773505	0.005253356559	46	6	0.003270774899	Global Trend	
5950000	403.971761	1	0.957179448543	0.775949935821	-0.024975037501	0.000166507183	0.956701403040	N\A	0.019437853377	0.004512194188	42	9	-0.003130742211	Global Trend	
6000000	401.666171	1	1.006344282024	0.771869147320	-0.024057099615	0.000278056362	0.951144721584	N\A	0.020254425122	0.004608991311	35	10	-0.004952439555	Global Trend	
6050000	407.470734	1	0.796457753664	0.804753295706	-0.034203884247	0.000167598905	0.969459744512	N\A	0.018371855771	0.004372450297	42	12	0.000085692660	Global Trend	
6100000	398.693880	1	1.002322329073	0.765505317678	-0.028358051264	0.000353143014	0.957420494069	N\A	0.020358870634	0.004796982764	43	6	-0.002781956207	Global Trend	
6150000	414.768379	1	0.880407907239	0.812443341897	-0.033949013009	0.000218661406	0.953064084618	N\A	0.020057974058	0.004524126642	47	14	-0.001960849148	Global Trend	
6200000	392.023551	1	0.812085222468	0.782825998524	-0.026530889773	0.000170021908	0.953935929718	N\A	0.019733538234	0.004546248658	39	9	0.000135591265	Global Trend	
6250000	389.167457	1	1.053139514149	0.745172077221	-0.015484088473	0.000481484706	0.943031460445	N\A	0.022118196353	0.005430950861	40	4	-0.004007997726	Global Trend	
6300000	394.209906	1	0.679193648446	0.846963178344	-0.035047897964	0.000509730807	0.969782164124	N\A	0.019408895860	0.004223336819	44	7	-0.001749551275	Global Trend	
6350000	381.650921	1	1.234464682705	0.743265889516	-0.019012298585	0.000429151769	0.942662667285	N\A	0.021158493162	0.005165373728	36	6	-0.006898211108	Global Trend	
6400000	386.425544	1	0.881316295513	0.788749011465	-0.026117583579	0.000406838079	0.942170146209	N\A	0.022316896016	0.005076608571	34	7	-0.002086486295	Global Trend	
