Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m5-glob-001.txt
Log File Name:                   STR_d1_m5-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3349761363
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m5-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
5200000	535.025958	1	-1.292744789904	1.000856026802	-0.001380108083	0.000127971183	0.998011214452	N\A	0.003337325900	0.001587883707	38	1	-0.102218844844	Global Trend	
5250000	539.520509	1	-1.279835345446	0.981601300671	0.003769955484	0.000085171746	0.983307865092	N\A	0.027310729790	0.004125713446	31	1	-0.004939545218	Global Trend	
5300000	530.210476	1	-1.281032171702	0.995927987440	0.003473475504	0.000197563050	0.999861739891	N\A	0.001718172513	0.001510282645	30	0	-0.520165601474	Global Trend	
5350000	515.350433	1	-1.238933324627	0.999855612175	0.002742940819	0.000227667149	0.999225697201	N\A	0.002429192456	0.001751202400	23	0	0.385146390391	Global Trend	
5400000	538.614834	1	-1.325517224454	0.998023650761	0.001937658057	0.000083646134	0.999979932415	N\A	0.001272482718	0.001240372012	36	1	-0.739091117315	Global Trend	
5450000	536.949322	1	-1.264828283359	0.996185413737	0.000794869528	0.000083309934	0.998968766868	N\A	0.002585709160	0.001557106183	37	1	-0.082591227479	Global Trend	
5500000	541.693846	1	-1.237807256633	0.987823380690	0.001599629345	0.000108037266	0.990876616185	N\A	0.009423340494	0.001979625695	30	4	-0.027725478531	Global Trend	
5550000	542.590080	1	-1.323593757062	1.000892276809	-0.000536475377	0.000055574253	0.999720819523	N\A	0.001687921052	0.001325740679	36	3	0.090110758657	Global Trend	
5600000	546.443548	1	-1.468384269590	0.988279920378	0.002683922331	0.000155741089	0.997848867285	N\A	0.003428421356	0.001142572222	43	4	0.120867557105	Global Trend	
5650000	547.120629	1	-1.460216124164	1.006741616142	-0.000509571682	0.000108357697	0.997850152243	N\A	0.003539702405	0.001288159653	29	1	-0.090288119605	Global Trend	
5700000	554.131409	1	-1.265921100419	0.997140806309	0.002030058550	0.000171907367	0.999805226494	N\A	0.001458642070	0.001136749943	38	3	-0.550752017002	Global Trend	
5750000	538.694268	1	-1.276625267522	1.000983216723	0.000904186743	0.000253324322	0.999182695997	N\A	0.002276583024	0.001433651977	40	1	0.397474741784	Global Trend	
5800000	538.411907	1	-1.404299823559	0.996981652262	0.003541163773	0.000198752566	0.999912090363	N\A	0.001380759289	0.001254440772	42	2	-0.906419154937	Global Trend	
5850000	533.444096	1	-1.363768124609	1.006287146501	0.000371855837	0.000086055162	0.983887715005	N\A	0.018354736393	0.003220974984	32	0	-0.009093707579	Global Trend	
5900000	531.041594	1	-1.238042506589	0.992538766066	0.003665760925	0.000123119265	0.998265016396	N\A	0.003124158019	0.001403755662	38	1	-0.129501237298	Global Trend	
5950000	524.137881	1	-1.254024093119	1.000473623681	-0.001892589280	0.000094833888	0.999616064947	N\A	0.001918661275	0.001424132602	47	1	-0.116565820949	Global Trend	
6000000	537.141353	1	-1.411307364096	0.996387043777	0.002859458716	0.000207287765	0.999888906149	N\A	0.001554580531	0.001450878841	36	2	0.826371160507	Global Trend	
6050000	534.613583	1	-1.206163474083	1.003059127826	-0.001149940411	0.000077123046	0.999839745784	N\A	0.001645372182	0.001447216211	29	0	0.254509338760	Global Trend	
6100000	524.338092	1	-1.271300506673	1.003308501197	0.000546637813	0.000162846870	0.997547432171	N\A	0.003687059875	0.001622381519	38	0	0.111372784839	Global Trend	
6150000	535.919918	1	-1.384979283913	1.016392978847	0.000033178514	0.000072897212	0.984677521849	N\A	0.018364897770	0.002908140341	42	1	-0.007475128936	Global Trend	
6200000	535.911051	1	-1.253205541146	1.002583283941	-0.000697222625	0.000169133019	0.999185562017	N\A	0.002335444365	0.001489125845	30	3	0.166080519978	Global Trend	
6250000	531.024716	1	-1.310856132881	1.000936933579	-0.000692664337	0.000138413957	0.999314150253	N\A	0.002227332084	0.001542964689	23	1	0.184706196623	Global Trend	
6300000	533.296562	1	-1.325316555751	0.995519633983	0.002314741193	0.000275336477	0.976520216620	N\A	0.036435959153	0.005591447944	36	1	-0.008665471699	Global Trend	
6350000	535.757290	1	-1.224871099589	1.001940193739	-0.001458788279	0.000310207251	0.999914003906	N\A	0.001406517064	0.001300011981	43	2	1.071175241434	Global Trend	
6400000	516.000025	1	-1.255697793565	0.982533195404	0.001938426127	0.000218481257	0.977449699102	N\A	0.021476935903	0.003399258750	38	3	-0.014376034569	Global Trend	
