Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m8-fab-005.txt
Log File Name:                   MED_d1_m8-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3952842963
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m8-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
5500000	637.488825	1	-0.429506123748	0.789936418673	-0.029500706590	0.196417299636	0.000046060917	0.982156030190	N\A	0.038782437509	0.004699255814	0.016578782642	38	4	
5550000	627.773169	1	-0.383905806314	0.773438335291	-0.032352076600	0.220258641220	0.000045175376	0.983343633424	N\A	0.030197113036	0.003498160203	0.013446627095	50	5	
5600000	621.195646	1	-0.434703740475	0.789914903819	-0.035290181139	0.225126819345	0.000052786922	0.981219127273	N\A	0.035234294528	0.003636765256	0.015316337009	40	5	
5650000	622.224494	1	-0.415403556680	0.775706175492	-0.030099716652	0.219981873485	0.000087198870	0.983785670901	N\A	0.030971277485	0.004491360437	0.016806787736	40	4	
5700000	639.388886	1	-0.392688535069	0.802262695767	-0.030002424072	0.191839393632	0.000037584980	0.985707718152	N\A	0.034131025270	0.004071558594	0.015199074227	36	8	
5750000	629.549116	1	-0.378170341492	0.766096719169	-0.034424205054	0.239412713215	0.000046214697	0.981852953951	N\A	0.037251035715	0.004909291639	0.016830169916	35	6	
5800000	621.430581	1	-0.302136416155	0.726969300178	-0.025831897636	0.220463871622	0.000067898662	0.982273663152	N\A	0.037772629692	0.004622964901	0.017980351048	25	5	
5850000	624.418686	1	-0.411012856870	0.796054516472	-0.027430357411	0.180160268028	0.000078385415	0.981586171985	N\A	0.037313586924	0.004527177940	0.017016366149	45	6	
5900000	638.444638	1	-0.454882937709	0.808505294582	-0.036572129620	0.223834991292	0.000095283943	0.983902652153	N\A	0.031104734345	0.003549945909	0.013989597157	38	5	
5950000	610.701669	1	-0.467725495354	0.812644953737	-0.030291199280	0.189293193292	0.000083672112	0.979298766483	N\A	0.037726249162	0.004788925382	0.017117216642	38	7	
6000000	620.072477	1	-0.426789297969	0.778757700394	-0.034687198876	0.236709695863	0.000045516797	0.980974141810	N\A	0.036194086447	0.003848318664	0.015367433747	33	6	
6050000	635.345724	1	-0.449978676766	0.805626671887	-0.037012895713	0.219098899641	0.000053669684	0.982694207446	N\A	0.034953356479	0.003873807828	0.015630384130	37	7	
6100000	623.265727	1	-0.434578729764	0.783750755494	-0.030669595716	0.218232444407	0.000050990151	0.982482548353	N\A	0.032594235597	0.004556911652	0.016339438520	42	3	
6150000	611.011188	1	-0.312288520992	0.722536566927	-0.031366148273	0.253937330207	0.000053956489	0.981135636541	N\A	0.038442930029	0.004197959855	0.016230258561	39	2	
6200000	601.698990	1	-0.526184232032	0.846879356082	-0.041332150068	0.223281223993	0.000097038223	0.978886688747	N\A	0.039262882248	0.004614325722	0.018042676769	28	2	
6250000	603.638244	1	-0.443598479774	0.798648648610	-0.034057129166	0.213613091027	0.000043086938	0.982770546192	N\A	0.039172719546	0.003960897286	0.015524592153	35	2	
