Species_TTOL	SCH	rest_of_brain	rest_of_brain2	BOD	BOD2
Hsunycteris_thomasi	1.13	3.0789623596587	9.48000921219507	0.839	0.703921
Lophostoma_silvicolum	1.262	3.0789623596587	9.48000921219507	1.509	2.277081
Macroderma_gigas	1.687	3.0789623596587	9.48000921219507	2.078	4.318084
Macrophyllum_macrophyllum	0.965	3.0789623596587	9.48000921219507	0.934	0.872356
Megaderma_lyra	1.415	3.0789623596587	9.48000921219507	1.587	2.518569
Megaderma_spasma	1.336	3.0789623596587	9.48000921219507	1.354	1.833316
Mesophylla_macconnelli	1.13	3.0789623596587	9.48000921219507	0.875	0.765625
Micronycteris_brachyotis	1.049	3.0789623596587	9.48000921219507	1.167	1.361889
Micronycteris_megalotis	0.88	3.0789623596587	9.48000921219507	0.813	0.660969
Micronycteris_minuta	0.955	3.0789623596587	9.48000921219507	0.839	0.703921
Micronycteris_schmidtorum	0.957	3.0789623596587	9.48000921219507	0.892	0.795664
Gardnerycteris_crenulatum	0.952	3.0789623596587	9.48000921219507	1.072	1.149184
Miniopterus_australis	0.781	3.0789623596587	9.48000921219507	0.851	0.724201
Miniopterus_inflatus	0.971	3.0789623596587	9.48000921219507	1.173	1.375929
Miniopterus_magnater	0.903	3.0789623596587	9.48000921219507	1.176	1.382976
Miniopterus_pusillus	0.798	3.0789623596587	9.48000921219507	0.934	0.872356
Miniopterus_tristis	0.847	3.0789623596587	9.48000921219507	1.193	1.423249
Molossus_molossus	0.938	3.0789623596587	9.48000921219507	1.137	1.292769
Molossus_rufus	1.164	3.0789623596587	9.48000921219507	1.526	2.328676
Monophyllus_plethodon	1.185	3.0789623596587	9.48000921219507	1.176	1.382976
Mormoops_megalophylla	1.025	3.0789623596587	9.48000921219507	1.196	1.430416
Murina_cyclotis	0.898	3.0789623596587	9.48000921219507	0.851	0.724201
Murina_huttoni	0.874	3.0789623596587	9.48000921219507	0.944	0.891136
Myotis_adversus	0.865	3.0789623596587	9.48000921219507	1.049	1.100401
Myotis_albescens	0.574	3.0789623596587	9.48000921219507	0.602	0.362404
Myotis_annectans	0.926	3.0789623596587	9.48000921219507	0.991	0.982081
Myotis_bechsteinii	0.963	3.0789623596587	9.48000921219507	0.978	0.956484
Myotis_bocagii	0.754	3.0789623596587	9.48000921219507	0.845	0.714025
Myotis_dasycneme	1.049	3.0789623596587	9.48000921219507	1.176	1.382976
Myotis_myotis	1.236	3.0789623596587	9.48000921219507	1.408	1.982464
Myotis_nigricans	0.611	3.0789623596587	9.48000921219507	0.663	0.439569
Myotis_siligorensis	0.486	3.0789623596587	9.48000921219507	0.539	0.290521
Natalus_tumidirostris	0.934	3.0789623596587	9.48000921219507	0.839	0.703921
Noctilio_albiventris	1.114	3.0789623596587	9.48000921219507	1.515	2.295225
