Species_TTOL	SCH	rest_of_brain	BOD
Lonchophylla_mordax	1.193	3.0789623596587	1.029
Hsunycteris_thomasi	1.13	3.0789623596587	0.839
Lophostoma_silvicolum	1.262	3.0789623596587	1.509
Macroderma_gigas	1.687	3.0789623596587	2.078
Macrophyllum_macrophyllum	0.965	3.0789623596587	0.934
Megaderma_lyra	1.415	3.0789623596587	1.587
Megaderma_spasma	1.336	3.0789623596587	1.354
Mesophylla_macconnelli	1.13	3.0789623596587	0.875
Micronycteris_brachyotis	1.049	3.0789623596587	1.167
Micronycteris_megalotis	0.88	3.0789623596587	0.813
Micronycteris_minuta	0.955	3.0789623596587	0.839
Micronycteris_schmidtorum	0.957	3.0789623596587	0.892
Gardnerycteris_crenulatum	0.952	3.0789623596587	1.072
Miniopterus_australis	0.781	3.0789623596587	0.851
Miniopterus_inflatus	0.971	3.0789623596587	1.173
Miniopterus_magnater	0.903	3.0789623596587	1.176
Miniopterus_pusillus	0.798	3.0789623596587	0.934
Miniopterus_tristis	0.847	3.0789623596587	1.193
Molossus_molossus	0.938	3.0789623596587	1.137
Molossus_rufus	1.164	3.0789623596587	1.526
Monophyllus_plethodon	1.185	3.0789623596587	1.176
Mormoops_megalophylla	1.025	3.0789623596587	1.196
Murina_cyclotis	0.898	3.0789623596587	0.851
Murina_huttoni	0.874	3.0789623596587	0.944
Myotis_adversus	0.865	3.0789623596587	1.049
Myotis_albescens	0.574	3.0789623596587	0.602
Myotis_annectans	0.926	3.0789623596587	0.991
Myotis_bechsteinii	0.963	3.0789623596587	0.978
Myotis_bocagii	0.754	3.0789623596587	0.845
Myotis_dasycneme	1.049	3.0789623596587	1.176
Myotis_myotis	1.236	3.0789623596587	1.408
Myotis_nigricans	0.611	3.0789623596587	0.663
Myotis_siligorensis	0.486	3.0789623596587	0.539
