Species_TTOL	MOB	rest_of_brain	BOD	BOD2
Eulemur_fulvus_fulvus	2.316	4.34468914865517	3.146	9.897316
Galago_senegalensis	1.899	3.65384583826705	2.27	5.1529
Galagoides_demidoff	1.92	3.50526524207999	1.908	3.640464
Gorilla_gorilla	2.5	5.67214160105073	5.021	25.210441
Homo_sapiens	2.057	6.09769523952942	4.813	23.164969
Hylobates_lar	1.642	4.98887970833346	3.756	14.107536
Indri_indri	2.225	4.55944787748954	3.796	14.409616
Lagothrix_lagotricha	1.866	4.980177796679	3.716	13.808656
Lepilemur_mustelinus	2.053	3.85550540645094	2.961	8.767521
Lophocebus_albigena	2.083	4.9893093148895	3.898	15.194404
Loris_tardigradus_tardigradus	1.933	3.79701647977618	2.508	6.290064
Macaca_mulatta	1.926	4.94427327976376	3.892	15.147664
Microcebus_murinus	1.633	3.22499777943092	1.732	2.999824
Miopithecus_talapoin	1.444	4.57720824492106	3.079	9.480241
Nasalis_larvatus	1.481	4.97211427746941	4.146	17.189316
Nycticebus_coucang	2.201	4.07016900764897	2.903	8.427409
Otolemur_crassicaudatus	2.22	3.98509131950917	2.929	8.579041
Pan_troglodytes	2.41	5.58232825551133	4.663	21.743569
Papio_cynocephalus	2.458	5.28121407692444	4.398	19.342404
Perodicticus_potto	2.491	4.12079897970986	3.061	9.369721
Pithecia_monachus	1.542	4.51688705271499	3.176	10.086976
Piliocolobus_badius	1.71	4.86832778778568	3.845	14.784025
Propithecus_verreauxi	2.167	4.40135338583513	3.542	12.545764
Pygathrix_nemaeus	1.029	4.86047259819674	3.875	15.015625
Saguinus_midas	1.238	3.98108200720884	2.531	6.405961
Saguinus_oedipus	1.281	3.97903342592802	2.58	6.6564
Saimiri_sciureus_sciureus	1.428	4.35321967494396	2.82	7.9524
Tarsius_tarsier	1.274	3.53020840861181	2.097	4.397409
Varecia_variegata	2.567	4.47260429620756	3.477	12.089529
