Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m3-glob-004.txt
Log File Name:                   MED_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            233539781
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
5250000	516.837095	1	29.607223728888	0.696654977083	-0.024649615936	0.000125790928	0.978174144625	N\A	0.008287530385	0.002054601854	6	18	-0.547447156441	Global Trend	
5300000	525.625285	1	28.179475197586	0.704185447683	-0.025118694734	0.000119748165	0.982825108167	N\A	0.007190529600	0.001887968191	6	21	-0.532393368885	Global Trend	
5350000	518.839350	1	22.511262919533	0.708944797083	-0.026404294108	0.000124755999	0.985554503582	N\A	0.006321294845	0.001745368727	8	18	-0.426418081127	Global Trend	
5400000	503.664797	1	30.485917096690	0.685596055439	-0.024942844994	0.000135415010	0.979878794637	N\A	0.007619805491	0.002022767277	6	19	-0.545203760709	Global Trend	
5450000	522.570660	1	33.064289986078	0.697758335042	-0.024174274841	0.000121145849	0.980916203803	N\A	0.007647896783	0.001995816909	5	22	-0.616267283465	Global Trend	
5500000	518.024249	1	29.133705272260	0.732248434412	-0.033429843942	0.000124621849	0.984758604510	N\A	0.006569866704	0.001834800770	7	20	-0.587111630724	Global Trend	
5550000	516.363387	1	25.404009622134	0.690843800621	-0.026064991036	0.000126388557	0.982651533570	N\A	0.007007564883	0.001854156120	6	19	-0.457091769318	Global Trend	
5600000	515.993007	1	21.015473686763	0.732761289982	-0.031657149952	0.000127357367	0.983616832563	N\A	0.006964937542	0.001811915581	8	21	-0.421607049065	Global Trend	
5650000	521.456750	1	26.598594202833	0.686210454617	-0.025424136614	0.000122454832	0.979318661116	N\A	0.007805446574	0.001967355935	7	22	-0.473646652867	Global Trend	
5700000	507.623285	1	25.316886502028	0.701342886789	-0.023367422040	0.000133109612	0.980062872556	N\A	0.007819191657	0.001997972426	5	19	-0.474673922119	Global Trend	
5750000	518.855355	1	21.790803643380	0.712011210053	-0.026482043161	0.000125495171	0.980164211084	N\A	0.007811911646	0.001904448950	7	22	-0.415872278389	Global Trend	
5800000	492.588085	1	21.641242560843	0.701179756480	-0.027798747304	0.000147371538	0.974527237186	N\A	0.009099615903	0.002122595302	5	18	-0.397350153142	Global Trend	
5850000	511.890101	1	22.429398248860	0.717450511438	-0.031559335441	0.000131407380	0.978129514380	N\A	0.008270015908	0.001976214331	5	20	-0.430035997480	Global Trend	
